Word,Frequency
efficacydescribe,1
safetymonitor,1
course,84
discharged,51
estimate,26
prevalence,163
questionnaire,417
items,32
practices,22
biweekly,1
electronic,15
surveyassess,1
perceptions,21
concerns,13
pandemic,123
mitigation,3
strategiesestimate,1
active,67
cabarrus,1
countyestimate,1
exposure,46
immunity,45
anosmia,10
ageusia,6
coviddiagnostic,1
coda,1
women,43
realdetect,1
rtpcr,165
kitreduce,1
price,1
kits,2
description,29
ambulatory,23
casesbiological,1
radiological,44
casesprevalence,1
cases,139
andor,167
serological,75
neurological,44
symptomsthree,1
function,265
patientsclinical,8
presentation,24
patientsprevalence,4
pre,19
acutely,1
admitted,105
patientsanosmia,1
patientsexploratory,1
neurospecific,1
inflammatory,180
cerebrospinal,4
infectionexploratory,1
coagulation,35
covidneg,2
inbreath,1
gastrointestinal,21
as,1266
assessed,548
gsrs,1
questionnaireprognosis,1
diseaselong,1
term,42
consequences,12
postinfection,3
pi,2
irritable,1
bowel,7
syndrome,127
ibslong,1
dyspepsiaidentification,1
symptom,192
frequency,157
mhm,1
imbalance,1
triggered,3
covidnumber,41
gauchers,1
diseasenumber,5
urea,23
disorderseverity,1
twodoses,13
immunization,19
schedule,25
clusters,13
quarter,1
studyincidence,7
year,68
statusincidence,6
preexisting,21
antibodiesincidence,2
coverageincidence,1
death,334
due,229
clusterschange,1
average,99
area,102
neighboring,1
citiesmedicallyattended,1
vaccinefrequency,2
casesfrequency,2
special,82
interest,90
immunizationacceptability,1
vaccineadherence,1
viralrna,1
kitstemporal,1
trend,6
composite,120
semen,10
result,73
paofio,66
ccp,7
transfusionchange,5
pulse,47
oximetry,17
ao,1
sequential,62
organ,205
failure,296
sofachange,1
point,330
deterioration,36
scalelength,4
icuhospital,4
staydevelopment,1
transfusion,13
reactionsdevelopment,1
complex,6
disorderschange,1
anti,24
cov,111
levels,543
pulmonary,218
followup,54
sequelae,21
covidevaluation,2
outcome,370
covidcompare,2
functional,132
diseasecompare,1
diseasequality,2
life,396
covidphysical,2
frailty,14
scalephysical,2
testsmicrobiota,1
coronavirus,110
sars,108
territorial,2
agents,12
structures,3
cctvl,2
loire,2
valley,2
region,9
centre,2
orleans,2
metropolitan,4
citydetermine,1
if,128
there,28
is,132
relationship,48
profession,3
community,41
city,3
contamination,18
receiving,101
adsorbed,4
inactivated,6
vaccinereactogenicity,1
vaccinesafety,2
anticovidigm,1
anticovidiga,1
anticovidtime,1
onset,93
symptomscovid,3
resultsradiological,1
studies,20
phase,332
unexpected,12
serious,376
eventsphase,6
turning,5
negative,272
negativephase,3
exploratory,7
outcomephase,3
progression,211
saerate,1
initiating,1
systemic,192
corticosteroidshospital,1
staymortalityicu,1
stayventilator,9
daysseverity,2
failureviral,1
loadantibody,3
measurementsthrombotic,1
complicationthe,1
presenting,20
coagulopathy,13
disordersnumber,1
laboratory,244
changeadverse,4
effectsconvalescent,1
efficacyconvalescent,2
low,60
titer,126
efficacy,196
donor,7
postcovid,31
complicationsfactors,2
role,17
ivermectin,16
line,4
asses,5
clearance,106
protocols,4
healthcare,110
workers,56
sarscovincidence,5
ent,1
sarscovdevelopment,3
workerssensitivity,1
specificity,52
workerssars,1
bacterial,56
super,1
infections,89
upper,42
airways,5
prediction,9
admission,285
icu,500
hospitalized,230
patientspathophysiology,1
neonatal,59
covidincidence,21
vertically,1
transmitted,2
covidpresentation,2
natural,10
neonates,18
mothersoutcomes,1
covidclinical,7
covidneonatal,2
impacts,8
percent,75
agreement,36
soc,15
spartan,3
vaginal,5
resultbecoming,1
laboratoryconfirmed,35
doseincidence,8
suspected,23
casesincidence,7
critical,70
deathseroconversion,1
antis,26
antibody,661
elisaseropositive,1
severityoverall,1
presence,146
indicating,14
carriers,3
covidassociation,5
exhaled,8
biomarkers,148
age,96
gender,22
symptomsseverity,7
etcsensitivity,1
algorithm,8
global,64
implication,1
belgian,9
anesthesiologists,1
pandemicif,1
any,340
compare,77
our,10
countries,6
extend,1
involvementoxygen,1
saturation,161
amongst,8
county,1
personnelcorrelation,1
common,17
testcoexistence,1
influenza,48
chronic,93
medications,16
covidcomorbidities,2
covidchronic,1
consent,11
receive,26
least,201
dose,305
plasmaoverall,1
once,4
covidinduced,6
confirmed,193
involvement,37
treatmentmortality,2
cause,144
daysdays,11
respirator,2
vasopressor,28
dayspatients,4
alive,252
ventilation,594
vasopressors,24
cured,12
daysincidence,18
treatmentemergent,108
changing,11
sarscovchanges,1
immunglobulin,1
titerchanges,1
cytokine,96
patternintensive,1
admissionlength,11
stayduration,33
ventilationclinical,11
statusmortality,6
conventional,19
tests,86
sonoclot,1
evidence,45
thrombosiscoagulationrelated,1
bleeding,50
eventpresence,1
endogenous,3
heparinoids,1
demonstrated,1
poc,7
frame,33
daysintensive,9
diagnosis,126
infectionincidence,25
hospitalnumber,18
contaminating,2
avoided,2
early,136
patientsincidence,4
seroconversion,111
demographics,9
cohort,90
groupclinical,2
manifestations,15
covidlaboratory,2
data,125
included,8
cohortradiological,1
cohortoutcomes,1
group,258
psychosocial,13
effects,106
dental,20
professionals,13
turkish,5
fear,30
scalethe,15
complicationsassessment,2
effectivenesscovid,1
confirmationvaccine,1
effectiveness,62
agevaccine,2
comorbidities,26
mean,303
score,773
end,173
trial,56
weeks,180
ratedetermine,1
each,310
vaccinationthe,11
pneumonia,97
deaths,42
accompanied,1
reactionseventsthe,1
saethe,3
geometric,70
gmt,100
antisarscov,131
antibodythe,19
fourfold,4
increase,98
fold,117
rise,59
gmfr,45
defined,175
seroconversionchange,1
titers,140
iggantibodies,2
against,299
sarscovchange,6
individual,33
sarscovproportion,7
total,261
sarscovinfections,3
independent,7
antibodiessarscov,5
nasopharyngeal,140
subjectsepidemiology,1
correlations,5
children,91
sarscovfactors,1
outcomeshealth,1
resource,12
utilization,33
managementsensitivity,1
case,60
testing,94
kit,9
conversionduration,1
hospitalizationrate,5
exposurerate,1
incident,6
infectionevaluate,3
morbidity,21
covidevaluate,4
covidestimate,1
predictive,72
inflammation,68
indexes,41
therapy,237
hospitalisation,30
rateestimate,1
rateevaluate,3
infective,2
dialysis,17
staff,47
towards,32
patientsevaluate,4
percentage,355
nowdx,3
authorized,3
fda,26
cleared,3
comparatorpositivity,1
vaccinated,41
persons,20
moving,5
daily,169
covidsarscovtimevarying,1
reproductive,3
covidsarscovday,1
covidsarscov,7
comparator,5
employees,5
beaumont,1
healthcovid,1
reinfection,11
sarscovcorrelation,2
dried,7
spot,14
standard,92
sampling,14
antibodiescorrelation,3
iga,44
antibodiesreproducibility,1
spotsstability,1
spots,2
detectioneffect,1
shipping,1
detectionaccuracy,1
participantperformed,2
collection,28
detectionease,1
collectioncorrelation,2
immediate,34
family,53
members,17
personal,32
preventative,3
behaviors,23
decrease,82
exposureworkplace,1
actions,6
exposureeffects,1
general,86
health,625
statuseffects,1
access,27
serviceseffects,1
dietary,21
habitseffects,1
physical,293
activity,274
not,171
specifically,4
exerciseeffects,2
weighteffects,1
hbac,17
glycated,7
hemoglobinbarriers,1
type,108
diabetes,50
management,48
covidcovid,6
screeningcovid,1
testingcovid,1
willingnesshesitancytrusted,1
sources,4
informationeffects,1
housingeffects,1
employmenteffects,1
incomesources,1
stress,303
improvementtime,22
negativityclinical,1
mortalityduration,20
survivorstime,1
initiation,34
testassessment,3
late,12
stool,29
date,22
moderna,15
infectioneffect,2
peak,42
loadimpact,1
transmission,32
infectionefficacy,4
prevent,5
serologically,3
symptomseffect,1
magnitude,6
over,397
timeefficacy,1
regardless,18
serostatus,3
pcreffect,1
loadeffect,2
eventsimmunogenicity,4
vaccineimmune,2
correlates,7
acquisition,7
diseaseefficacy,1
diseaseeffect,1
antibodiest,2
cd,134
lymphocytesinflammatory,1
markersmetabolic,1
sarscovvalidation,1
immunoassay,6
detect,17
measurement,88
sarscovexploration,1
epidemiology,3
rna,69
samplesprevalence,2
remaining,5
free,299
need,197
both,102
groupsmortality,3
groupsimprovement,8
pafi,6
ratio,202
groupsduration,8
groupduration,2
groupsdays,2
groupscreactive,1
proteinswbc,1
count,150
intent,4
covidpredictors,2
lus,9
applicability,2
radiographic,8
xray,18
tomodensitometrylus,1
predictionprediction,1
prone,53
position,26
workersnumber,6
symptomatic,161
form,125
led,2
hospitalizationnumber,15
unitinfluencing,1
vocal,2
biomarker,43
controlsvocal,1
burden,23
positivevocal,1
determine,80
fetal,16
coviddescribe,7
pregnanciesunderstand,1
placental,6
pregnancy,23
various,20
gestational,12
ages,3
exposurecorrelation,2
lack,4
illnesscorrelate,1
symptomscorrelate,1
subsequent,24
cohortlink,1
formation,6
testingincidence,3
reinfectionpresence,1
having,29
cytokineshigh,1
vital,120
statuspatient,3
requiring,240
more,96
than,111
liters,3
oxygen,751
maintain,4
resuscitation,11
departmentpercentage,1
affected,24
ctpercentage,1
ground,2
glass,4
opacity,3
scanpercentage,2
condensation,1
scanlength,1
hospitalizationrehospitalizationduration,1
intubationsoftware,1
operating,4
timecreactive,4
protein,301
levelslactate,3
dehydrogenaselymphocytemiad,1
dimers,2
leveltime,7
until,125
symptomstime,13
scanagebmi,1
cardiovascular,136
diseasediabetesmedical,1
diseasemedical,1
immunosuppressed,3
conditioncurrent,1
previous,29
smokingcalculate,1
biological,56
parameterscalculate,1
parameters,173
onlycompare,1
receiver,6
curves,7
scores,126
infectionperinatal,1
mortalityicu,23
minute,72
apgar,5
preterm,12
labourpprommiscarriage,1
effect,154
gi,10
societies,1
recommendations,3
infectionto,18
performed,23
endoscopic,17
procedure,38
covideffect,3
precautions,9
timeeffect,3
disinfectioneffect,1
successeffect,1
complicationseffect,2
working,16
noninvasive,166
devicesincidence,1
ventilationincidence,21
failureduration,3
hospitalizationclinical,6
trace,17
element,20
dischargechange,10
homocystein,3
oxidative,21
routine,28
hemogram,1
vitamin,67
d,129
troponin,40
ddimer,72
iron,8
ferritin,67
creactive,125
crp,106
procalcitonin,18
uric,4
acid,44
chlorine,1
nitrogen,12
bun,5
creatine,20
albumin,12
bilirubin,38
loadchange,9
titerschange,3
titersintensive,2
staylength,43
daysrequirement,4
ventilationduration,56
world,63
organization,73
guidelinemortality,2
sarscovtitration,1
evolution,119
humoral,77
along,3
covidreinfection,2
enrolled,39
thrombosis,43
patientsevaluation,2
enoxaparin,7
covidassociated,3
responsessystemic,2
anticovid,3
serologyrate,1
loss,44
muscle,57
massprevalence,1
sarcopenianormal,1
ultrasound,48
thicknessc,1
reactive,42
correlated,3
sarcopeniatherapy,1
corticosteroids,9
thicknessnormal,1
medial,5
gastrocnemius,1
pennation,2
angle,4
all,163
patientsferritin,1
sarcopeniafibrinogen,1
sarcopenia,1
vocus,1
ptrtof,1
process,19
whom,9
caused,57
oxygenationthe,1
feasibility,63
positivitymortalityintensive,1
ratemechanical,4
ventilator,111
application,21
rateoxygen,4
apply,3
prong,1
facial,6
mask,26
cannularates,1
inotrope,2
changes,574
pregnants,2
infectionsymptomsclinical,1
observations,4
acute,291
myocarditismultisystemic,1
syndromekawasaki,1
diseaseresults,1
covidrate,9
nucleic,30
acidconcentration,1
ingredientrate,1
circulating,58
signaturecovid,1
signature,11
eventscovid,8
follicular,3
ratiospermatic,1
ratiofollicular,1
estradiol,2
pmollfollicular,1
progesterone,1
nmollfollicular,1
perlecan,1
nmoll,8
evolutionimmune,1
responsedisease,1
optical,3
coherence,5
tomography,25
microthrombosis,2
patientspulmonary,1
artery,12
vessel,3
anatomy,3
characterizationcorrelation,1
tte,2
hypertension,14
right,7
ventricular,42
disfunctioncorrelations,1
tissue,37
eradication,10
timenumber,4
deathnumber,11
recovery,203
adjusted,10
initial,47
armnumber,16
dependent,11
developed,48
distress,104
classified,14
strategiespositive,1
testpositive,6
character,2
testbiological,1
parametersmedicaleconomic,1
collected,32
influenzalike,7
illness,91
tolerabilityimmunogenicitychange,2
s,70
glycoproteinspecific,7
antibodychange,9
glycoprotein,14
receptor,67
binding,98
domainspecific,25
epitope,8
subclasses,4
antibodyadverse,2
reading,2
ld,1
uld,1
acquisitions,1
adoption,3
hospitalists,1
caring,5
covidpercentage,8
ultrasoundchest,2
utilizationadequacy,1
images,8
interpretation,8
decisionmaking,2
measured,712
expertinpatient,1
levelsside,1
registered,7
liver,66
transplant,11
waiting,2
list,11
epidemiological,14
argentina,3
same,23
national,118
registry,10
procurement,3
transplantationto,2
transplants,1
transplantation,4
predicate,1
specific,193
deathin,1
stayheart,1
failurerenal,2
failurerespiratory,1
insufficiencyupper,1
tract,68
involvementpneumoniasepsissystemic,1
syndromeclinically,1
relevant,37
bleedingother,1
prognosis,16
scoreoxygen,4
saturationlaboratory,1
dataradiological,1
featureshospital,1
stayliver,1
functionkidney,1
skin,26
mucous,4
membrane,88
practitioners,5
oral,53
face,23
membranes,2
depending,33
whether,46
involves,2
aerosolization,4
turbine,1
ultrasonic,3
scalerdetermine,1
does,12
involve,1
intraoral,3
examination,43
biopsydetermine,1
protective,23
equipment,6
ppe,17
contraangle,2
scalerevaluate,2
surfaces,1
loads,7
areas,12
fraction,63
sarscovfraction,1
hospitaldevelopment,1
repertoire,9
mortalitychange,12
ventilationchange,15
older,25
expected,8
countscovid,2
percentagescollection,2
countscollection,2
percentagessensitivity,2
tested,44
consistently,1
accurately,2
per,180
protocolsafety,1
rates,106
investigators,14
communities,2
invasive,253
covidmortality,5
recurrent,6
major,43
mace,4
urgent,7
rehospitalization,10
immunological,31
abbott,1
architect,1
assayevaluation,1
euroimmun,3
sarscoviga,1
wantai,2
ab,17
diasorin,1
liaison,2
ss,2
roche,1
ecl,2
combined,25
rnabreast,1
milk,13
immunebreast,1
microbiotabreast,1
metaboliteinfant,1
microbiotainfant,2
growth,27
current,30
drug,136
treatments,78
practicerisk,1
modifiers,1
pharmacological,34
such,33
comorbidity,13
pathology,16
concomitant,11
medicationinformation,1
patterns,25
these,16
drugs,43
treatmentadverse,2
eventstime,17
maximum,96
reachedtreatments,1
described,7
protocolhealthy,1
survey,113
recoverydischarge,1
body,156
mass,57
sarscovassociations,1
known,28
cardiometabolic,3
factorsinvestigate,1
modifying,3
sex,14
associations,7
ventilationinvestigate,1
seroconversionoccurrence,1
event,180
hydroxychloroquine,32
treatmentincidence,5
workersrisk,2
different,115
analytical,13
microbiological,5
conditions,34
develop,59
biobank,4
covidseverity,9
periodeffectiveness,1
preventingreducing,1
pandemicfurther,1
stratification,14
core,8
decision,14
making,10
would,4
been,18
altered,5
evolutionrisk,1
mortalitythe,8
ifprognostic,1
scorethe,4
pneumoniathe,2
accuracy,30
patientscoagulation,1
system,106
anomaliesthe,1
oxygenation,184
pneumoniaimpact,1
vascular,30
surgery,21
emergencymortality,1
seroprevalence,38
estimates,2
wearing,34
fitbit,2
watchfeasibility,1
temptraq,1
patchsurvey,1
completion,47
validate,5
analyzed,9
noses,2
spectrometry,4
infectionidentify,7
nature,10
air,41
sweatassessment,2
canine,3
olfactory,31
covs,2
psychological,97
scorepsychological,4
questions,26
pstd,1
scoredescriptive,1
statistics,3
nonpsychological,1
cytokines,58
concentration,304
mmol,4
l,10
monthschange,73
interrelationship,1
delirium,14
monthsmodification,1
genes,7
expressed,102
non,35
pbmc,25
mchange,1
quantity,9
chromatines,1
openings,1
chromatin,2
accessibility,2
profiles,30
recovering,4
infectionchange,2
expression,69
dayscovid,3
hours,128
eligible,12
careadverse,3
eventsdose,2
needed,8
clear,3
viremiatime,1
viremia,5
demonstrate,9
tdetect,1
commercial,3
immunoassays,2
longer,9
hospitalizationmedian,2
fevermedian,1
ventilationmedian,2
length,257
staymedian,1
admissionhospital,3
percentageday,1
percentagereadmission,1
percentagemedian,1
biozek,2
antigen,61
rapid,43
sample,88
professionalssensitivity,1
selfcollected,7
experience,112
virusfamilys,1
overall,95
pandemicchilds,1
cancellations,1
servicescaregivers,1
covidstress,1
unpleasant,1
experiences,28
endured,1
caregiver,8
covidactivities,1
engaged,2
caregivers,23
parenting,20
school,41
closure,3
childdescribing,1
childs,3
characterchilds,1
routinechilds,1
about,42
measureshow,1
sbhc,1
help,12
being,43
synthesis,3
negativelack,1
immunogenicitycovid,1
incidencedeath,1
follow,58
upmeasure,1
vaccines,22
subgroup,10
diabetic,8
autoimmune,9
cancer,104
solid,8
transplantationlongevity,1
vaccinationantibody,4
injection,34
identifying,3
metabolomic,2
signatureidentification,1
recoverymortalityicu,1
pediatric,29
retrospective,14
individuals,35
verify,1
reliability,2
prognosticdiagnostic,1
igmigg,8
analysisace,1
category,102
ranges,9
resumption,1
normal,103
activities,43
deathsequential,1
sofa,107
scoresincidence,2
ae,71
sae,23
significancesarscov,1
detectable,23
oropharyngeal,24
op,7
sampleicu,1
deathallcause,5
immunitylongterm,1
protection,18
monthslongterm,1
yearantisarscov,1
kinetics,19
throughout,28
studyantisarscov,2
studykinetics,1
birth,23
characteristicstreatment,1
measures,109
intervention,159
strategiesclinical,1
estimation,5
relation,38
findings,81
testingrole,1
patientsassement,1
timepoint,17
betwen,1
scalelung,2
xrayconcomitant,1
medication,46
assessmenthematimetryactivated,1
partial,84
thromboplastin,28
timefibrinogen,1
levelfragment,1
assessmentglomerular,1
filtration,14
assessmentferritin,1
assessmentcreactive,4
assessmentlactate,1
dehydrogenase,35
ldh,25
assessmenttroponin,1
i,55
assessmentprocalcitonin,1
assessmentinterleukin,1
assessmentpartial,1
pressure,206
po,10
assessmentquantitative,1
determination,21
quantification,13
specimentime,1
negativization,6
rtpcrpneumonia,1
psi,6
scorepercentage,3
unitsmortality,2
daysmortality,11
dayslength,16
formpercentage,1
supportclinical,5
childrenbiological,1
childrenct,1
childrenpulmonary,1
echographynasopharynx,1
pcrnasopharynx,1
loadnasopharynx,1
multiplex,3
pcrnumber,6
rising,1
titre,15
apelins,2
angiotensin,14
iiblood,1
clara,1
ccblood,1
interleukine,2
ilblood,2
surfactant,7
spdplasma,1
degradation,6
speed,5
uplcplasma,1
ace,58
fluorometryplasma,3
kallikrein,2
neprilysin,1
ras,2
fluorometryapacheiioxygenation,1
indexmechanical,1
ventilationpulmonary,2
compliance,38
dynamic,8
realtime,11
device,36
tidal,13
volume,116
plateau,8
peeplength,1
staysofa,1
covidseroconversion,2
deaththe,3
contributing,6
histopathological,6
deceased,10
patientdetailed,1
postmortem,2
coviddetailed,1
covidpostmortem,1
rnapostmortem,1
mechanisms,7
cellular,56
pe,11
infectionpresence,3
hcqincidence,1
physiotherapytype,1
physiotherapy,9
implemented,3
severityidentification,2
affecting,7
infectionidentification,1
polymorphic,3
variants,20
mutations,6
reporting,123
local,136
reactionspercentage,10
eventspercentage,26
eventsserum,3
speicfic,1
titres,9
phenomenon,1
hesitancy,5
rheumatic,6
diseases,35
patientsidentify,1
short,135
longterm,33
endorgan,3
infectionestablish,1
biobankthe,1
complication,11
plausibly,1
we,26
will,157
systems,12
pulmopnary,1
renal,127
endocrine,4
metabolic,61
points,119
rd,12
blueprint,5
expert,5
groupchanges,2
il,196
concentrationsimprovement,2
statuschanges,7
scorechanges,12
punctuation,3
warning,108
scorenumber,15
ventilationnumber,32
therapychanges,3
markerschanges,5
myocardial,57
damagetime,2
reaching,7
statuslength,3
staynumber,23
unitmortality,5
suggestive,14
controlsevaluation,5
imaging,66
controls,9
doselimiting,11
toxicitiesnational,1
newstime,12
scaletimetosarscov,1
negativity,19
infusion,49
cellsduration,1
persistence,14
cells,141
recipients,19
circulationtimetonormalization,1
lymphocyte,88
subsets,6
gene,31
transcriptome,4
infusionoverall,1
os,8
serologylaboratorial,1
umbilical,4
bloodlaboratorial,1
fluidplacenta,1
biopsylaboratorial,1
colostrumovarian,1
remains,1
biopsyblood,1
analysislaboratorial,2
thyroid,10
hormonespcr,1
interleukinsfetal,1
morphology,6
ultrasoundplacental,1
insufficiency,1
ultrasoundtype,1
deliverygestational,1
deliveryapgar,1
scorenewborn,1
weightfatigue,1
scaleprone,1
positionuse,1
tomographyanxious,1
depressive,52
questionnaireheart,1
variability,11
electrocardiogramlaboratorial,1
hemoglobin,62
cumulative,90
eventshospitalizationcovid,1
symptomsrate,6
resolution,136
symptomsmortality,4
occurrence,189
updeaths,1
oneyear,3
positivity,46
conversion,53
borderline,4
resultsymptoms,1
predicting,10
formulations,2
equine,2
immunoglobulins,10
mto,1
mviral,1
loadmortalityhospital,1
stayventilatory,1
supportblood,1
sarscovinflammatory,1
markersthrombotic,1
marker,47
levelsnegativization,1
period,113
swabbing,5
reverse,34
transcription,21
polymerase,67
chain,73
reactionspfi,1
oxigeninspired,1
oxigen,6
gainlung,1
ultrasoundadverse,1
cordials,4
taken,22
final,26
teamcohens,3
kappa,9
coefficient,12
concordance,16
covsars,6
swabs,56
admissionsensitivity,1
isolation,33
recombinant,11
monoclonal,5
directed,8
isolated,7
probesdescription,1
worseningdescription,7
lymphocytes,40
monocytes,18
complement,17
ch,2
cha,1
c,77
worsening,62
breastmilksarscov,1
breastmilk,2
retaining,1
fqhc,2
uptake,27
strategy,15
communitydriven,2
messaging,4
patientsuptake,1
fqhcintervention,1
satisfaction,124
participant,76
pneumoniamortality,2
ventilationdays,9
sensibility,6
urinary,26
descriptionevolution,1
overtimeclinical,1
analysiscomparison,1
factorsfear,1
allergic,9
reaction,105
either,24
pfizerbiontech,1
vaccineproportion,5
grade,142
anaphylactic,2
brighton,1
collaboration,1
criteria,41
doseproportion,3
conditional,1
no,114
adjusting,1
placebo,144
administration,136
conditionchange,3
organs,3
pfs,2
eventsquick,1
qsofa,11
scorecardiopulmonary,1
arresticu,1
stayhospital,15
mortalityhospital,22
staydialysisfree,1
daysvasopressorfree,2
daysicufree,8
daysday,8
mortalityantisarscov,1
titerssarscov,3
substantial,2
improvements,3
condition,37
covidimprovement,3
severityhealth,1
utilizationfrequency,1
aesmortality,1
contract,4
while,33
elective,7
outpatient,19
procedurespatient,1
perception,47
post,153
contracting,5
pseudovirus,23
inhibition,31
acechange,1
ifn,27
production,22
peripheral,64
mononuclear,18
cellsadverse,1
recoveryviral,2
clearanceradiological,3
extensiondrug,1
mortalityintensive,3
rateduration,13
dynamics,18
transcriptase,4
needs,27
immunomodulatory,5
drugswho,1
eventswho,3
scaleoverall,5
survivaltime,9
randomization,113
dischargetime,16
supply,15
independencysurvival,1
utilizationsurvival,1
confirm,2
safetysuggestion,1
efficacyoptimal,1
gmcsf,1
kdigo,8
infectiontroponin,1
greater,37
th,90
percentile,2
infectionaki,1
higher,55
approach,10
priorielevation,1
prioriaki,1
higherassociation,1
elevation,6
thassociation,1
creatinine,56
edfg,1
ml,12
min,11
mthe,1
stroke,40
infarction,25
heart,119
three,34
hospitalthe,1
characteristicspatients,2
journey,4
descriptiontreatments,1
differences,53
gut,12
